era,season_number,serial_title,story_number,episode_number,episode_title,type,first_aired,production_code,uk_viewers,rating_episodes,duration,air_date,rating_imdb,rating_n,desc,director,writer
revived,9.0,,258a,7.0,The Zygon Invasion,episode,31-10-2015,,5.76,82.0,46.0,31 Oct. 2015,7.8,4396.0,"Zygons, a shape-shifting alien race, and humans live in peace together on earth, but a group of rogue zygons threaten the peace between humans and zygons.",Daniel Nettheim,Peter Harness
revived,9.0,,258b,8.0,The Zygon Inversion,episode,07-11-2015,,6.03,84.0,46.0,7 Nov. 2015,8.5,4775.0,"With the Zygons invading England, and UNIT neutralized, the Doctor stands alone to stop the Zygons from taking over the entire planet. But how can he stop the Zygons? And how can he save his friends?",Daniel Nettheim,Peter Harness
revived,9.0,,258b,8.0,The Zygon Inversion,episode,07-11-2015,,6.03,84.0,46.0,7 Nov. 2015,8.5,4775.0,"With the Zygons invading England, and UNIT neutralized, the Doctor stands alone to stop the Zygons from taking over the entire planet. But how can he stop the Zygons? And how can he save his friends?",Daniel Nettheim,Steven Moffat
revived,9.0,,259,9.0,Sleep No More,episode,14-11-2015,,5.61,78.0,45.0,14 Nov. 2015,5.8,4838.0,"Vision recovered from the wreckage of Le Verrier Space Station shows how the Doctor and Clara became entangled in a rescue mission. As the footage plays out, a horrifying secret is uncovered.",Justin Molotnikov,Mark Gatiss
revived,9.0,,260,10.0,Face the Raven,episode,21-11-2015,,6.05,84.0,47.0,21 Nov. 2015,8.5,5288.0,"The Doctor and Clara are called back to Earth when Rigsy discovers a strange tattoo on the back of his neck that appears to be counting down to zero. Their investigation leads them to a hidden street in the middle of London, the discovery that Rigsy has been issued a death sentence, and one of them facing the choice of having to make the ultimate sacrifice; to face the Raven!",Justin Molotnikov,Sarah Dollard
revived,9.0,,261,11.0,Heaven Sent,episode,28-11-2015,,6.19,80.0,54.0,28 Nov. 2015,9.6,10323.0,"Trapped in a world unlike any other he has seen, the Doctor faces the greatest challenge of his many lives. One final test. And he must face it alone...",Rachel Talalay,Steven Moffat
revived,9.0,,262,12.0,Hell Bent,episode,05-12-2015,,6.17,82.0,61.0,5 Dec. 2015,8.6,5965.0,"If you took everything from him, betrayed him, trapped him, and broke both his hearts... how far might the Doctor go? Returning to Gallifrey, the Doctor faces the Time Lords in a struggle that will take him to the end of time itself. Who is the Hybrid? And what is the Doctor's confession?",Rachel Talalay,Steven Moffat
revived,9.0,,263,,The Husbands of River Song,special,25-12-2015,,7.69,82.0,56.0,,,,,Douglas Mackinnon,Steven Moffat
revived,10.0,,264,0.0,The Return of Doctor Mysterio,special,25-12-2016,,7.83,82.0,60.0,25 Dec. 2016,7.4,4844.0,"In New York, with brain-swapping aliens poised to attack, the Doctor and Nardole link up with an investigative reporter and a mysterious masked superhero known only as the Ghost. Can the Doctor save Manhattan? And what will be revealed when we see behind the mask?",Ed Bazalgette,Steven Moffat
revived,10.0,,265,1.0,The Pilot,episode,15-04-2017,,6.68,83.0,50.0,15 Apr. 2017,7.9,4800.0,The Doctor and Nardole team up with a university student to take down a sinister life-mimicking alien.,Lawrence Gough,Steven Moffat
revived,10.0,,266,2.0,Smile,episode,22-04-2017,,5.98,83.0,46.0,22 Apr. 2017,7.1,4083.0,"The Doctor brings Bill to a future human colony, where cute EmojiBots work as willing servants and make sure everybody's happy, but if they're not happy ,they're harvested, so Bill and The Doctor better smile, or else.",Lawrence Gough,Frank Cottrell-Boyce
revived,10.0,,267,3.0,Thin Ice,episode,29-04-2017,,5.61,84.0,44.0,29 Apr. 2017,7.3,3920.0,The Doctor and Bill visit London during the last of the River Thames frost fairs in February 1814. They soon discover that there is something under the ice which is causing people to disappear.,Bill Anderson,Sarah Dollard
revived,10.0,,268,4.0,Knock Knock,episode,06-05-2017,,5.73,83.0,44.0,6 May 2017,7.3,3874.0,"Bill is moving in with some friends and they've found the perfect house rented by the landlord. The wind blows, the floorboards creak and the Doctor thinks something is very wrong.",Bill Anderson,Mike Bartlett
revived,10.0,,269,5.0,Oxygen,episode,13-05-2017,,5.27,83.0,45.0,13 May 2017,8.1,3992.0,"When the Doctor, Bill and Nardole become trapped on a space station without oxygen, they discover the spacesuits are trying to kill them.",Charles Palmer,Jamie Mathieson
revived,10.0,,270,6.0,Extremis,episode,20-05-2017,,5.53,82.0,49.0,20 May 2017,8.4,4112.0,"The Doctor is called by the Vatican to solve the mystery of a text called the Veritas, that when someone reads it dies soon after. But something is dwelling in the Vatican, and doesn't want the Veritas to be read.",Daniel Nettheim,Steven Moffat
revived,10.0,,271,7.0,The Pyramid at the End of the World,episode,27-05-2017,,5.79,82.0,46.0,27 May 2017,7.6,3566.0,"A 5,000-year-old pyramid appears overnight, baffling everyone including the Doctor.",Daniel Nettheim,Peter Harness
revived,10.0,,271,7.0,The Pyramid at the End of the World,episode,27-05-2017,,5.79,82.0,46.0,27 May 2017,7.6,3566.0,"A 5,000-year-old pyramid appears overnight, baffling everyone including the Doctor.",Daniel Nettheim,Steven Moffat
revived,10.0,,272,8.0,The Lie of the Land,episode,03-06-2017,,4.82,82.0,45.0,3 Jun. 2017,7.1,3461.0,"Earth is invaded and Bill is living alone in occupied Britain. The Doctor appears to be on the side of the enemy, flooding the airwaves with fake news. Bill and Nardole embark on a deadly mission to rescue the Doctor and lead the resistance against the new regime, whatever the cost.",Wayne Yip,Toby Whithouse
revived,10.0,,273,9.0,Empress of Mars,episode,10-06-2017,,5.02,83.0,44.0,10 Jun. 2017,7.0,3416.0,"The Doctor, Bill and Nardole discover a tomb of the Queen of the Ice Warriors on Mars in 1881.",Wayne Yip,Mark Gatiss
revived,10.0,,274,10.0,The Eaters of Light,episode,17-06-2017,,4.73,81.0,42.0,17 Jun. 2017,6.8,3400.0,"A long time ago, the Roman legion of the ninth vanished into the mists of Scotland. Bill has a theory about what happened, and the Doctor has a time machine. But when they arrive in ancient Aberdeenshire, what they find is a far greater threat than any army. In a cairn, on a hillside, is a doorway leading to the end of the world.",Charles Palmer,Rona Munro
revived,10.0,,275a,11.0,World Enough and Time,episode,24-06-2017,,5.0,85.0,46.0,24 Jun. 2017,9.2,4802.0,"Trapped on a giant spaceship, caught in the event horizon of a black hole, he witnesses the death of someone he is pledged to protect. Are events already out of control?",Rachel Talalay,Steven Moffat
revived,10.0,,275b,12.0,The Doctor Falls,episode,01-07-2017,,5.3,83.0,60.0,1 Jul. 2017,9.0,4807.0,The Doctor makes a final stand against an army of Cybermen to protect a tiny band of humans from destruction.,Rachel Talalay,Steven Moffat
